workerid,language,enjoyment,gender,age,comments,asses,education
0,,-1,,,,NA,-1
1,,-1,,,,Yes,-1
2,عربى,2,Male,28,رائع.,Yes,2
3,,1,Female,ستة وعشرون,,Confused,2
4,arabic,1,Female,46,,Yes,3
5,Malayalam,0,Male,39,,Yes,2
6,العربیه,2,Female,28,,Yes,3
7,,1,Male,25,,Confused,0
8,,1,Male,24,,Confused,0
