date,workerid,amount
Tue Mar 12 11:08:21 PDT 2019,AXI085WZ89QSY,0.5
Sat Mar 16 10:14:14 PDT 2019,A344NL79X7M487,0.5
Mon Mar 18 11:45:06 PDT 2019,A2V47R39QRBDR0,0.5
Mon Mar 18 16:01:08 PDT 2019,A1LHVOPBNG05HI,0.5
Tue Mar 19 05:36:04 PDT 2019,A39LOTWIN86Q9F,0.5
Tue Mar 19 12:59:36 PDT 2019,AOVLJDV0ZZPGO,0.5
Tue Mar 19 16:59:58 PDT 2019,A15VDF93XIV7JU,0.5
Tue Mar 19 17:01:13 PDT 2019,A2K4BL7TBZR8WK,0.5
Tue Mar 19 17:03:10 PDT 2019,A10RWQKX75QZ4D,0.5
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
