date,workerid,amount
Tue Mar 12 07:05:40 PDT 2019,A1M8JDV3X0IXIW,0.5
Mon Mar 18 06:37:26 PDT 2019,A2NYKSMKMRRMW9,0.5
Tue Mar 19 04:24:05 PDT 2019,AX2VR7850ON7L,0.5
Tue Mar 19 17:09:54 PDT 2019,ASZFTQOPYVHQJ,0.5
Tue Mar 19 21:33:47 PDT 2019,A3VFNAB7V9J53T,0.5
Wed Mar 20 01:05:17 PDT 2019,ALOEBVJM9UPOQ,0.5
Wed Mar 20 08:34:52 PDT 2019,A31CP9GBH21X2P,0.5
Wed Mar 20 09:49:38 PDT 2019,APYI6OO5XUP1U,0.5
Wed Mar 20 10:36:15 PDT 2019,A39Y6EM34MXCAL,0.5
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
